# GOLDEN SET REVIEW
#
# PART A (reviewed) - labels pre-filled. Edit after '|' only where you disagree.
# PART B (BLIND) - labels are EMPTY on purpose. Fill them from your own head
#   BEFORE reading anything else. These 20 are deliberately ambiguous problems;
#   they carry the gate's real discriminating power. Part A is anchored (a label
#   was shown to you first) and is graded separately for that reason.
#
# Vocabulary: content/PROMPT-leetcode-mapping.md (124 slugs; scaffold slugs illegal).
# When done:  python scripts/build_golden.py

# ===================== PART A - reviewed =====================

# --- two-pointers  (8) ----------------------------------------
    11  M  Container With Most Water                    | two-pointers
    15  M  3Sum                                         | two-pointers
    26  E  Remove Duplicates from Sorted Array          | two-pointers
    42  H  Trapping Rain Water                          | two-pointers
    75  M  Sort Colors                                  | two-pointers
    88  E  Merge Sorted Array                           | two-pointers
   160  E  Intersection of Two Linked Lists             | two-pointers
   283  E  Move Zeroes                                  | two-pointers

# --- binary-search  (5) ---------------------------------------
     4  H  Median of Two Sorted Arrays                  | binary-search
    33  M  Search in Rotated Sorted Array               | binary-search
    35  E  Search Insert Position                       | binary-search
   153  M  Find Minimum in Rotated Sorted Array         | binary-search
   704  E  Binary Search                                | binary-search

# --- backtracking-template  (4) -------------------------------
    17  M  Letter Combinations of a Phone Number        | backtracking-template
    22  M  Generate Parentheses                         | backtracking-template
    37  H  Sudoku Solver                                | backtracking-template
    79  M  Word Search                                  | backtracking-template

# --- out_of_scope  (4) ----------------------------------------
   175  E  Combine Two Tables                           | out_of_scope
   176  M  Second Highest Salary                        | out_of_scope
   195  E  Tenth Line                                   | out_of_scope
  1114  E  Print in Order                               | out_of_scope

# --- palindromes  (4) -----------------------------------------
     5  M  Longest Palindromic Substring                | palindromes
     9  E  Palindrome Number                            | palindromes
   125  E  Valid Palindrome                             | palindromes
   234  E  Palindrome Linked List                       | palindromes

# --- binary-tree-and-traversals  (3) --------------------------
   101  E  Symmetric Tree                               | binary-tree-and-traversals
   226  E  Invert Binary Tree                           | binary-tree-and-traversals
   297  H  Serialize and Deserialize Binary Tree        | binary-tree-and-traversals

# --- designing-data-structures  (3) ---------------------------
   146  M  LRU Cache                                    | designing-data-structures
   232  E  Implement Queue using Stacks                 | designing-data-structures
   295  H  Find Median from Data Stream                 | designing-data-structures

# --- dfs-on-graphs  (3) ---------------------------------------
   133  M  Clone Graph                                  | dfs-on-graphs
   332  H  Reconstruct Itinerary                        | dfs-on-graphs
   733  E  Flood Fill                                   | dfs-on-graphs

# --- hash-tables  (3) -----------------------------------------
     1  E  Two Sum                                      | hash-tables
   128  M  Longest Consecutive Sequence                 | hash-tables
   217  E  Contains Duplicate                           | hash-tables

# --- height-and-diameter  (3) ---------------------------------
   104  E  Maximum Depth of Binary Tree                 | height-and-diameter
   110  E  Balanced Binary Tree                         | height-and-diameter
   543  E  Diameter of Binary Tree                      | height-and-diameter

# --- kadane-s-algorithm  (3) ----------------------------------
    53  M  Maximum Subarray                             | kadane-s-algorithm
   121  E  Best Time to Buy and Sell Stock              | kadane-s-algorithm
   152  M  Maximum Product Subarray                     | kadane-s-algorithm

# --- top-k-with-a-heap  (3) -----------------------------------
    23  H  Merge k Sorted Lists                         | top-k-with-a-heap
